Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
20, 8, 8, 8, 64, 11.5767, 20.1708, N/A, 0.284113, 0.284121, 618152, 7.21386, 8, 64, 0.125, 1, 1, 1, 57.6323, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 11.5767, 20.1708, N/A, 0.284113, 0.284121, 618152, 7.21386, 8, 64, 0.125, 1, 1, 1, 57.6323, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9036, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 11.5767, 20.1708, N/A, 0.284113, 0.284121, 618152, 7.21386, 8, 64, 0.125, 1, 1, 1, 57.5902, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 10.4877, 19.8639, N/A, 0.253832, 0.253839, 594703, 3.63835, 8, 32, 0.125, 1, 1, 1, 57.0529, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 10.4877, 19.8639, N/A, 0.253832, 0.253839, 594703, 3.63835, 8, 32, 0.125, 1, 1, 1, 56.9079, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 10.4877, 19.8639, N/A, 0.253832, 0.253839, 594703, 3.63835, 8, 32, 0.125, 1, 1, 1, 56.9079, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.8654, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.8654, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 131072, 1, 8, 512, 0.581112, 0.464059, N/A, 0.101574, 0.114621, 27.4858, 0.32451, 8, 2, 1, 1, 8, 1, 27.6356, 2, 2, 1, 1, 2, 1, 74.3104, 
22, 131072, 1, 8, 512, 0.581112, 0.464059, N/A, 0.101574, 0.114621, 27.4858, 0.32451, 8, 2, 1, 1, 8, 1, 27.6356, 2, 2, 1, 1, 2, 1, 74.3104, 
22, 131072, 1, 8, 512, 0.581112, 0.464059, N/A, 0.101574, 0.114621, 27.4858, 0.32451, 8, 2, 1, 1, 8, 1, 27.6356, 2, 2, 1, 1, 2, 1, 74.3104, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9036, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9036, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 131072, 1, 8, 512, 0.581112, 0.464059, N/A, 0.101574, 0.114621, 27.4858, 0.32451, 8, 2, 1, 1, 8, 1, 27.6356, 2, 2, 1, 1, 2, 1, 74.3104, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9244, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9244, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9244, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9244, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9244, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9244, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9244, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9244, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9244, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9249, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.8654, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.8654, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.8654, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.8654, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.8654, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.8654, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.8654, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.8654, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.8654, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.8654, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.8654, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.8654, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.8654, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.8654, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.8654, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9227, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9213, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9155, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9213, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.8654, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9155, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9213, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
